ind;side;ampl;f_max;sym_max;f_Lw1;sym_Lw1;f_Lw2;sym_Lw2;slope_pre;slope_post;mean_500;mean_1000;mean_1500;mean_2000;mean_2500;mean_3000;mean_3500;mean_4000;mean_4500;mean_5000
ESG041;R;-4.4426694915254235;1406.25;0.22916666666666666;1406.25;0.22916666666666666;1406.25;0.22916666666666666;0.01268118590988995;-0.010759601651519965;6.552916666666666;4.2004166666666665;5.60326923076923;0.21519230769230768;1.7498076923076924;-9.503846153846153;-10.514375000000001;-11.211538461538463;-12.05480769230769;-16.016
ESG042;L;-1.6129025423728813;1093.75;0.1346153846153846;1835.94;0.38823529411764707;1835.94;0.38823529411764707;0.01268118590988995;-0.010759601651519965;5.760000000000001;4.581041666666666;1.8323076923076924;4.193846153846154;2.725769230769231;3.1282692307692312;-3.93625;-10.476346153846153;-8.43;-14.128
ESG043;L;-4.8609322033898295;859.38;0.07272727272727272;859.38;0.07272727272727272;898.44;0.08256880733944955;0.01268118590988995;-0.010759601651519965;2.3033333333333332;9.518541666666668;7.632499999999999;-6.885000000000001;-11.440384615384614;-4.732115384615384;-8.873124999999998;-9.695384615384617;-10.526153846153846;-13.175
ESG043;R;-4.894406779661017;1210.94;0.16831683168316833;1132.81;0.14563106796116504;1171.88;0.1568627450980392;0.01268118590988995;-0.010759601651519965;-2.6220833333333338;4.677291666666666;8.318461538461538;-0.4282692307692307;-2.6842307692307688;-7.313269230769231;-8.387083333333333;-11.304999999999998;-14.197115384615385;-15.83675
ESG044;L;-0.9850635593220335;2070.31;0.4936708860759494;2109.38;0.5128205128205128;2148.44;0.5324675324675324;0.01268118590988995;-0.010759601651519965;7.3308333333333335;9.041041666666668;11.667884615384615;11.445192307692308;6.485576923076922;-8.625384615384615;-7.0475;-11.675;-12.128461538461535;-14.735249999999999
ESG044;R;-0.04557203389830467;1640.62;0.3111111111111111;1640.62;0.3111111111111111;1640.62;0.3111111111111111;0.01268118590988995;-0.010759601651519965;-2.6166666666666667;5.211666666666667;15.029230769230768;10.570961538461539;7.378846153846154;2.7557692307692303;-6.005;-11.11673076923077;-12.920384615384613;-13.22275
ESG046;L;-1.3698022598870059;1289.06;0.1919191919191919;1289.06;0.1919191919191919;1367.19;0.21649484536082475;0.01268118590988995;-0.010759601651519965;-4.770555555555555;2.033888888888889;8.819230769230769;1.7538461538461538;7.3528205128205135;0.8730769230769231;-7.741944444444445;-7.2356410256410255;-6.183333333333333;-13.445666666666664
ESG046;R;-2.3129943502824863;1250.0;0.18;1250.0;0.18;1250.0;0.18;0.01268118590988995;-0.010759601651519965;-14.281111111111114;1.59;9.677435897435897;2.8961538461538456;6.281794871794872;0.7253846153846155;-0.7452777777777779;-8.9;-13.807435897435898;-15.673666666666666
ESG048;L;-1.053135593220339;2343.75;0.6388888888888888;2343.75;0.6388888888888888;2421.88;0.6857142857142857;0.01268118590988995;-0.010759601651519965;2.8474999999999997;-0.32125000000000004;5.973076923076922;3.0896153846153847;11.200769230769229;2.7548076923076916;-0.3545833333333333;-8.762115384615385;-13.085769230769232;-14.845999999999998
ESG048;R;0.06819209039548008;1328.12;0.20408163265306123;1328.12;0.20408163265306123;1367.19;0.21649484536082475;0.01268118590988995;-0.010759601651519965;6.66;6.3525;8.843333333333332;1.5305128205128211;1.1956410256410255;7.142820512820512;-7.3005555555555555;-0.39025641025641017;-9.040256410256411;-14.120000000000001
ESS001;L;-3.4307627118644066;1015.62;0.11320754716981132;1015.62;0.11320754716981132;2070.31;0.4936708860759494;0.01268118590988995;-0.010759601651519965;1.0641666666666667;6.126666666666666;3.6265384615384613;6.564807692307694;-0.8715384615384614;-6.759807692307692;-5.459583333333334;-8.070192307692308;-13.8525;-16.7505
ESS001;R;-2.3611440677966105;1328.12;0.20408163265306123;1328.12;0.20408163265306123;1250.0;0.18;0.01268118590988995;-0.010759601651519965;-1.4325;4.9714583333333335;7.413269230769232;-0.8124999999999999;-0.1407692307692307;2.861153846153847;-2.4872916666666662;-5.625;-13.19903846153846;-17.629250000000003
